ID,Raw_Text,Label,Cleaned_Text
1,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
2,Email me at contact@example.com for inquiries.,0,email inquiry
3,Python is so cooool 😎😎!!!,1,python cooool
4,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1,warning account blocked unless verify
5,Ohhh woww!! This is amaaazinggg 😍😍,0,ohhh woww amaaazinggg
6,Breaking News!!! Read more at http://news.com,0,breaking news read
7,Ohhh woww!! This is amaaazinggg 😍😍,0,ohhh woww amaaazinggg
8,OMG!!! This is sooooo exciting 😱😱,1,omg sooooo exciting
9,Follow me @user123 for more updates!!,1,follow user update
10,Tooootallly agree with you!!!,0,tooootallly agree
11,Win a free iPhone!!! Click here: http://scam.com,0,win free iphone click
12,Tooootallly agree with you!!!,0,tooootallly agree
13,Retweet this!! #trending #viral,0,retweet trending viral
14,Tooootallly agree with you!!!,1,tooootallly agree
15,This is a test message with extraaaaaa letters!,1,test message extraaaaaa letter
16,Win a free iPhone!!! Click here: http://scam.com,0,win free iphone click
17,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
18,Ohhh woww!! This is amaaazinggg 😍😍,1,ohhh woww amaaazinggg
19,100% Guaranteed!!! Best deals only today.,0,guaranteed best deal today
20,Retweet this!! #trending #viral,1,retweet trending viral
21,I'm lovvvvving this new update!!! 💖💖,0,im lovvvvving new update
22,Order now and get 50% off! Limited time offer!,1,order get limited time offer
23,This is a test message with extraaaaaa letters!,0,test message extraaaaaa letter
24,Ohhh woww!! This is amaaazinggg 😍😍,0,ohhh woww amaaazinggg
25,Hey there!!! Visit my blog at https://example.com #blogging,0,hey visit blog blogging
26,Follow me @user123 for more updates!!,1,follow user update
27,Order now and get 50% off! Limited time offer!,1,order get limited time offer
28,Hello everyone!!! Have a great day 😃,1,hello everyone great day
29,Order now and get 50% off! Limited time offer!,0,order get limited time offer
30,I'm lovvvvving this new update!!! 💖💖,0,im lovvvvving new update
31,Check out this new product: http://shop.com #shopping,0,check new product shopping
32,OMG!!! This is sooooo exciting 😱😱,0,omg sooooo exciting
33,Python is so cooool 😎😎!!!,1,python cooool
34,Best offer ever!!! Call now 123-456-7890,1,best offer ever call
