ID,Raw_Text,Label
1,100% Guaranteed!!! Best deals only today.,0
2,Email me at contact@example.com for inquiries.,0
3,Python is so cooool 😎😎!!!,1
4,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
5,Ohhh woww!! This is amaaazinggg 😍😍,0
6,Breaking News!!! Read more at http://news.com,0
7,Ohhh woww!! This is amaaazinggg 😍😍,0
8,OMG!!! This is sooooo exciting 😱😱,1
9,Follow me @user123 for more updates!!,1
10,Tooootallly agree with you!!!,0
11,Win a free iPhone!!! Click here: http://scam.com,0
12,Tooootallly agree with you!!!,0
13,Retweet this!! #trending #viral,0
14,Tooootallly agree with you!!!,1
15,This is a test message with extraaaaaa letters!,1
16,Win a free iPhone!!! Click here: http://scam.com,0
17,This is a test message with extraaaaaa letters!,0
18,Ohhh woww!! This is amaaazinggg 😍😍,1
19,100% Guaranteed!!! Best deals only today.,0
20,Retweet this!! #trending #viral,1
21,I'm lovvvvving this new update!!! 💖💖,0
22,Order now and get 50% off! Limited time offer!,1
23,This is a test message with extraaaaaa letters!,0
24,Ohhh woww!! This is amaaazinggg 😍😍,0
25,Hey there!!! Visit my blog at https://example.com #blogging,0
26,Follow me @user123 for more updates!!,1
27,Order now and get 50% off! Limited time offer!,1
28,Hello everyone!!! Have a great day 😃,1
29,Order now and get 50% off! Limited time offer!,0
30,I'm lovvvvving this new update!!! 💖💖,0
31,Check out this new product: http://shop.com #shopping,0
32,OMG!!! This is sooooo exciting 😱😱,0
33,Python is so cooool 😎😎!!!,1
34,Best offer ever!!! Call now 123-456-7890,1
35,100% Guaranteed!!! Best deals only today.,0
36,Ohhh woww!! This is amaaazinggg 😍😍,1
37,Email me at contact@example.com for inquiries.,0
38,Loooveeee this!!! 💕💕💕,0
39,Best offer ever!!! Call now 123-456-7890,1
40,This is a test message with extraaaaaa letters!,0
41,Check out this new product: http://shop.com #shopping,0
42,This is a test message with extraaaaaa letters!,0
43,This is a test message with extraaaaaa letters!,0
44,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
45,100% Guaranteed!!! Best deals only today.,0
46,Loooveeee this!!! 💕💕💕,1
47,Tooootallly agree with you!!!,0
48,Tooootallly agree with you!!!,0
49,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
50,Python is so cooool 😎😎!!!,1
51,Email me at contact@example.com for inquiries.,1
52,Breaking News!!! Read more at http://news.com,0
53,Order now and get 50% off! Limited time offer!,1
54,OMG!!! This is sooooo exciting 😱😱,1
55,Win a free iPhone!!! Click here: http://scam.com,1
56,OMG!!! This is sooooo exciting 😱😱,0
57,Email me at contact@example.com for inquiries.,1
58,Follow me @user123 for more updates!!,0
59,This is a test message with extraaaaaa letters!,0
60,100% Guaranteed!!! Best deals only today.,1
61,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
62,I'm lovvvvving this new update!!! 💖💖,1
63,Check out this new product: http://shop.com #shopping,0
64,Tooootallly agree with you!!!,1
65,Hello everyone!!! Have a great day 😃,1
66,Follow me @user123 for more updates!!,1
67,Python is so cooool 😎😎!!!,1
68,100% Guaranteed!!! Best deals only today.,0
69,Breaking News!!! Read more at http://news.com,0
70,Breaking News!!! Read more at http://news.com,0
71,Retweet this!! #trending #viral,1
72,Hello everyone!!! Have a great day 😃,1
73,Follow me @user123 for more updates!!,1
74,Loooveeee this!!! 💕💕💕,1
75,Best offer ever!!! Call now 123-456-7890,0
76,Check out this new product: http://shop.com #shopping,1
77,Python is so cooool 😎😎!!!,1
78,Follow me @user123 for more updates!!,1
79,This is a test message with extraaaaaa letters!,1
80,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
81,Email me at contact@example.com for inquiries.,1
82,This is a test message with extraaaaaa letters!,1
83,Follow me @user123 for more updates!!,1
84,Python is so cooool 😎😎!!!,0
85,OMG!!! This is sooooo exciting 😱😱,1
86,Follow me @user123 for more updates!!,1
87,Win a free iPhone!!! Click here: http://scam.com,0
88,Best offer ever!!! Call now 123-456-7890,1
89,OMG!!! This is sooooo exciting 😱😱,0
90,I'm lovvvvving this new update!!! 💖💖,0
91,Python is so cooool 😎😎!!!,0
92,Email me at contact@example.com for inquiries.,1
93,Retweet this!! #trending #viral,0
94,Retweet this!! #trending #viral,0
95,Breaking News!!! Read more at http://news.com,0
96,I'm lovvvvving this new update!!! 💖💖,0
97,Follow me @user123 for more updates!!,1
98,Loooveeee this!!! 💕💕💕,0
99,Hey there!!! Visit my blog at https://example.com #blogging,0
100,Hello everyone!!! Have a great day 😃,0
101,Order now and get 50% off! Limited time offer!,0
102,Tooootallly agree with you!!!,1
103,Loooveeee this!!! 💕💕💕,0
104,Follow me @user123 for more updates!!,1
105,Hello everyone!!! Have a great day 😃,1
106,Breaking News!!! Read more at http://news.com,1
107,Hello everyone!!! Have a great day 😃,1
108,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
109,Loooveeee this!!! 💕💕💕,1
110,Email me at contact@example.com for inquiries.,1
111,Retweet this!! #trending #viral,1
112,Follow me @user123 for more updates!!,0
113,Best offer ever!!! Call now 123-456-7890,0
114,Tooootallly agree with you!!!,1
115,Ohhh woww!! This is amaaazinggg 😍😍,0
116,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
117,Loooveeee this!!! 💕💕💕,0
118,Email me at contact@example.com for inquiries.,1
119,This is a test message with extraaaaaa letters!,0
120,Email me at contact@example.com for inquiries.,1
121,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
122,Loooveeee this!!! 💕💕💕,0
123,Order now and get 50% off! Limited time offer!,0
124,Best offer ever!!! Call now 123-456-7890,0
125,100% Guaranteed!!! Best deals only today.,0
126,Loooveeee this!!! 💕💕💕,1
127,Best offer ever!!! Call now 123-456-7890,0
128,100% Guaranteed!!! Best deals only today.,0
129,Tooootallly agree with you!!!,0
130,This is a test message with extraaaaaa letters!,0
131,Tooootallly agree with you!!!,0
132,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
133,Win a free iPhone!!! Click here: http://scam.com,1
134,100% Guaranteed!!! Best deals only today.,0
135,Hey there!!! Visit my blog at https://example.com #blogging,1
136,Check out this new product: http://shop.com #shopping,1
137,Breaking News!!! Read more at http://news.com,0
138,Hello everyone!!! Have a great day 😃,1
139,Python is so cooool 😎😎!!!,0
140,Email me at contact@example.com for inquiries.,0
141,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
142,OMG!!! This is sooooo exciting 😱😱,0
143,I'm lovvvvving this new update!!! 💖💖,1
144,Win a free iPhone!!! Click here: http://scam.com,0
145,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
146,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
147,This is a test message with extraaaaaa letters!,0
148,Loooveeee this!!! 💕💕💕,0
149,Tooootallly agree with you!!!,1
150,Email me at contact@example.com for inquiries.,0
151,Loooveeee this!!! 💕💕💕,1
152,Python is so cooool 😎😎!!!,0
153,Ohhh woww!! This is amaaazinggg 😍😍,0
154,Python is so cooool 😎😎!!!,1
155,Win a free iPhone!!! Click here: http://scam.com,1
156,Order now and get 50% off! Limited time offer!,0
157,Win a free iPhone!!! Click here: http://scam.com,0
158,Breaking News!!! Read more at http://news.com,0
159,Best offer ever!!! Call now 123-456-7890,0
160,I'm lovvvvving this new update!!! 💖💖,0
161,Order now and get 50% off! Limited time offer!,0
162,Python is so cooool 😎😎!!!,0
163,Order now and get 50% off! Limited time offer!,0
164,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
165,Python is so cooool 😎😎!!!,1
166,Hey there!!! Visit my blog at https://example.com #blogging,1
167,Hey there!!! Visit my blog at https://example.com #blogging,0
168,Retweet this!! #trending #viral,0
169,Ohhh woww!! This is amaaazinggg 😍😍,1
170,Hey there!!! Visit my blog at https://example.com #blogging,1
171,Retweet this!! #trending #viral,1
172,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
173,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,1
174,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
175,Breaking News!!! Read more at http://news.com,0
176,Breaking News!!! Read more at http://news.com,1
177,I'm lovvvvving this new update!!! 💖💖,0
178,Ohhh woww!! This is amaaazinggg 😍😍,1
179,SPAM ALERT!!! Click here to claim your prize: http://spam.com,1
180,Tooootallly agree with you!!!,1
181,Retweet this!! #trending #viral,0
182,This is a test message with extraaaaaa letters!,0
183,OMG!!! This is sooooo exciting 😱😱,0
184,Hey there!!! Visit my blog at https://example.com #blogging,1
185,Retweet this!! #trending #viral,1
186,Retweet this!! #trending #viral,1
187,I'm lovvvvving this new update!!! 💖💖,1
188,Ohhh woww!! This is amaaazinggg 😍😍,1
189,Tooootallly agree with you!!!,1
190,Python is so cooool 😎😎!!!,0
191,Check out this new product: http://shop.com #shopping,0
192,Python is so cooool 😎😎!!!,0
193,Hello everyone!!! Have a great day 😃,0
194,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
195,Email me at contact@example.com for inquiries.,0
196,Warning!! Your account will be blocked unless you verify it now: http://fakeurl.com,0
197,Ohhh woww!! This is amaaazinggg 😍😍,1
198,Ohhh woww!! This is amaaazinggg 😍😍,1
199,Python is so cooool 😎😎!!!,0
200,This is a test message with extraaaaaa letters!,0
201,This is a test message with extraaaaaa letters!,0
202,This is a test message with extraaaaaa letters!,0
203,Retweet this!! #trending #viral,0
204,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
205,OMG!!! This is sooooo exciting 😱😱,1
206,Email me at contact@example.com for inquiries.,0
207,I'm lovvvvving this new update!!! 💖💖,1
208,Follow me @user123 for more updates!!,0
209,100% Guaranteed!!! Best deals only today.,1
210,I'm lovvvvving this new update!!! 💖💖,1
211,Tooootallly agree with you!!!,1
212,Win a free iPhone!!! Click here: http://scam.com,1
213,Order now and get 50% off! Limited time offer!,1
214,Email me at contact@example.com for inquiries.,0
215,Hey there!!! Visit my blog at https://example.com #blogging,1
216,Follow me @user123 for more updates!!,1
217,Follow me @user123 for more updates!!,0
218,Email me at contact@example.com for inquiries.,0
219,This is a test message with extraaaaaa letters!,0
220,Hey there!!! Visit my blog at https://example.com #blogging,0
221,Order now and get 50% off! Limited time offer!,0
222,This is a test message with extraaaaaa letters!,0
223,Tooootallly agree with you!!!,0
224,Breaking News!!! Read more at http://news.com,0
225,OMG!!! This is sooooo exciting 😱😱,1
226,Loooveeee this!!! 💕💕💕,1
227,Win a free iPhone!!! Click here: http://scam.com,0
228,Retweet this!! #trending #viral,0
229,Email me at contact@example.com for inquiries.,1
230,Loooveeee this!!! 💕💕💕,1
231,Tooootallly agree with you!!!,0
232,OMG!!! This is sooooo exciting 😱😱,0
233,Breaking News!!! Read more at http://news.com,0
234,Tooootallly agree with you!!!,0
235,Order now and get 50% off! Limited time offer!,1
236,Hello everyone!!! Have a great day 😃,1
237,Breaking News!!! Read more at http://news.com,1
238,Best offer ever!!! Call now 123-456-7890,0
239,Retweet this!! #trending #viral,0
240,Tooootallly agree with you!!!,1
241,Best offer ever!!! Call now 123-456-7890,0
242,Breaking News!!! Read more at http://news.com,0
243,Python is so cooool 😎😎!!!,0
244,Check out this new product: http://shop.com #shopping,1
245,Follow me @user123 for more updates!!,1
246,I'm lovvvvving this new update!!! 💖💖,1
247,OMG!!! This is sooooo exciting 😱😱,1
248,I'm lovvvvving this new update!!! 💖💖,1
249,Hey there!!! Visit my blog at https://example.com #blogging,0
250,Retweet this!! #trending #viral,0
251,Hello everyone!!! Have a great day 😃,1
252,100% Guaranteed!!! Best deals only today.,1
253,Hello everyone!!! Have a great day 😃,0
254,Python is so cooool 😎😎!!!,0
255,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
256,SPAM ALERT!!! Click here to claim your prize: http://spam.com,0
257,Breaking News!!! Read more at http://news.com,0
258,This is a test message with extraaaaaa letters!,1
259,Win a free iPhone!!! Click here: http://scam.com,0
260,Breaking News!!! Read more at http://news.com,0
261,Best offer ever!!! Call now 123-456-7890,1
262,Check out this new product: http://shop.com #shopping,1
263,Hey there!!! Visit my blog at https://example.com #blogging,1
264,Tooootallly agree with you!!!,0
265,This is a test message with extraaaaaa letters!,1
266,Email me at contact@example.com for inquiries.,0
267,Check out this new product: http://shop.com #shopping,0
268,OMG!!! This is sooooo exciting 😱😱,0
269,100% Guaranteed!!! Best deals only today.,1
270,Python is so cooool 😎😎!!!,1
271,Ohhh woww!! This is amaaazinggg 😍😍,0
272,Hello everyone!!! Have a great day 😃,0
273,Win a free iPhone!!! Click here: http://scam.com,0
274,100% Guaranteed!!! Best deals only today.,1
275,Best offer ever!!! Call now 123-456-7890,0
276,Best offer ever!!! Call now 123-456-7890,1
